Anchor_RGB,Color_A_RGB,Color_B_RGB,Preference
"[0.427386, 0.5365528, 0.64551246]","[0.6200192, 0.42248482, 0.85892093]","[0.013247349, 0.63664407, 0.9190242]",B
"[0.10931195, 0.25021073, 0.2869451]","[0.13329014, 0.025362235, 0.65349704]","[0.19300914, 0.2440832, 0.56626064]",A
"[0.5589108, 0.1726117, 0.7006287]","[0.5089098, 0.21297742, 0.3963621]","[0.02742958, 0.104241, 0.96827686]",B
"[0.11427693, 0.5011741, 0.042286932]","[0.24562381, 0.36273795, 0.10104874]","[0.45038268, 0.6715763, 0.26889366]",A
"[0.42119908, 0.285564, 0.901949]","[0.110428095, 0.4134403, 0.88338155]","[0.2773397, 0.11989955, 0.57893556]",A
"[0.7950909, 0.47609204, 0.14395571]","[0.6239901, 0.5224035, 0.19952631]","[0.9650007, 0.43111598, 0.24498254]",B
"[0.7386765, 0.6902982, 0.7849003]","[0.5447585, 0.5796636, 0.68740374]","[0.9930558, 0.7997586, 0.9540006]",B
"[0.7386765, 0.6902982, 0.7849003]","[0.5447585, 0.5796636, 0.68740374]","[0.9930558, 0.7997586, 0.9540006]",A
"[0.6465772, 0.32131508, 0.41746795]","[0.52786463, 0.40348682, 0.5669584]","[0.8521462, 0.2264191, 0.298402]",B
"[0.21807212, 0.9931184, 0.8254409]","[0.28118855, 0.96549165, 0.4873508]","[0.5378165, 0.9236066, 0.9413153]",A
"[0.8245373, 0.6058349, 0.5270138]","[0.93587846, 0.5494888, 0.61143845]","[0.72911435, 0.5993284, 0.38963792]",A
"[0.45038268, 0.6715763, 0.26889366]","[0.668128, 0.84952015, 0.04298523]","[0.018966172, 0.5434864, 0.250326]",B
"[0.6200192, 0.42248482, 0.85892093]","[0.427386, 0.5365528, 0.64551246]","[0.7015016, 0.23261943, 0.66090417]",B
"[0.6200192, 0.42248482, 0.85892093]","[0.427386, 0.5365528, 0.64551246]","[0.7015016, 0.23261943, 0.66090417]",B
"[0.050477147, 0.75139254, 0.38447642]","[0.386247, 0.9218118, 0.17346847]","[0.49266693, 0.6927735, 0.5741832]",B
"[0.47849888, 0.03535519, 0.55603755]","[0.7656734, 0.10646741, 0.6794801]","[0.07989321, 0.13546126, 0.75142074]",A
"[0.28301662, 0.5841398, 0.9606193]","[0.110428095, 0.4134403, 0.88338155]","[0.5447585, 0.5796636, 0.68740374]",A
"[0.67463243, 0.93995386, 0.62624186]","[0.21807212, 0.9931184, 0.8254409]","[0.5919679, 0.80771744, 0.06806096]",B
"[0.67463243, 0.93995386, 0.62624186]","[0.21807212, 0.9931184, 0.8254409]","[0.5919679, 0.80771744, 0.06806096]",B
"[0.386247, 0.9218118, 0.17346847]","[0.8617687, 0.97545856, 0.061561577]","[0.050477147, 0.75139254, 0.38447642]",B
"[0.07989321, 0.13546126, 0.75142074]","[0.30775985, 0.3351299, 0.71211684]","[0.47849888, 0.03535519, 0.55603755]",B
"[0.52402353, 0.5578787, 0.47586313]","[0.6426134, 0.73380274, 0.5084412]","[0.31610423, 0.46675077, 0.34318843]",B
"[0.52402353, 0.5578787, 0.47586313]","[0.6426134, 0.73380274, 0.5084412]","[0.31610423, 0.46675077, 0.34318843]",B
"[0.09247911, 0.69976723, 0.46741846]","[0.10546273, 0.6624454, 0.6309074]","[0.3372599, 0.7157864, 0.08003798]",B
"[0.9508632, 0.8360756, 0.13310212]","[0.6886413, 0.66410196, 0.12018794]","[0.95637697, 0.9993283, 0.5361718]",A
"[0.9508632, 0.8360756, 0.13310212]","[0.6886413, 0.66410196, 0.12018794]","[0.95637697, 0.9993283, 0.5361718]",A
"[0.44134697, 0.20318694, 0.011359442]","[0.5620479, 0.09346499, 0.19523619]","[0.4144105, 0.35082278, 0.074690744]",A
"[0.44134697, 0.20318694, 0.011359442]","[0.5620479, 0.09346499, 0.19523619]","[0.4144105, 0.35082278, 0.074690744]",A
"[0.1889156, 0.8504662, 0.8721232]","[0.51848817, 0.8820651, 0.63860065]","[0.28747994, 0.7264268, 0.92965496]",B
"[0.6279651, 0.90219265, 0.15015364]","[0.79501444, 0.695798, 0.18460143]","[0.48300022, 0.7583977, 0.5641151]",B
"[0.06076259, 0.46904716, 0.57270956]","[0.16684094, 0.7048901, 0.8074633]","[0.17677906, 0.32596102, 0.7084652]",A
"[0.30931062, 0.58470637, 0.3094189]","[0.29654577, 0.8667294, 0.54745305]","[0.10828192, 0.3786282, 0.046295986]",A
"[0.30931062, 0.58470637, 0.3094189]","[0.29654577, 0.8667294, 0.54745305]","[0.10828192, 0.3786282, 0.046295986]",A
"[0.975521, 0.78830826, 0.32357877]","[0.847761, 0.5262626, 0.08128159]","[0.7653207, 0.9197187, 0.020389784]",A
"[0.33971867, 0.34051433, 0.8993444]","[0.45239216, 0.60661554, 0.7268612]","[0.14519472, 0.039540336, 0.6216996]",A
